,precision,recall,f1-score,support,accuracy_global
0,0.0,0.0,0.0,0.0,0.05
1,0.4,0.2,0.26666666666666666,50.0,0.05
2,0.0,0.0,0.0,50.0,0.05
3,0.0,0.0,0.0,50.0,0.05
4,0.0,0.0,0.0,50.0,0.05
accuracy,0.05,0.05,0.05,0.05,0.05
macro avg,0.08,0.04,0.05333333333333333,200.0,0.05
weighted avg,0.1,0.05,0.06666666666666667,200.0,0.05
mean_epr_global,mean_epr_class_1,mean_epr_class_2,mean_epr_class_3,mean_epr_class_4
0.319472197196021,0.3366683804308028,0.31925050615515205,0.33553071276045043,0.2864391894376786
