,precision,recall,f1-score,support,accuracy_global
0,0.0,0.0,0.0,0.0,0.175
1,0.37777777777777777,0.34,0.35789473684210527,50.0,0.175
2,0.0,0.0,0.0,50.0,0.175
3,0.4473684210526316,0.34,0.38636363636363635,50.0,0.175
4,0.5,0.02,0.038461538461538464,50.0,0.175
accuracy,0.175,0.175,0.175,0.175,0.175
macro avg,0.2650292397660819,0.14,0.156543982333456,200.0,0.175
weighted avg,0.33128654970760235,0.175,0.19567997791682,200.0,0.175
mean_epr_global,mean_epr_class_1,mean_epr_class_2,mean_epr_class_3,mean_epr_class_4
0.29587028796609016,0.27989200567278966,0.2890532892650082,0.3204656796021258,0.2940701773244371
