sentiment,LLM_response,EPR,EPR,LLM_response
1,unknown,0.9851260962667879,0.9851260962667879,unknown
1,unknown,1.588084053993225,1.588084053993225,unknown
1,unknown,1.4769974440336227,1.4769974440336227,unknown
1,unknown,0.7677298638665434,0.7677298638665434,unknown
1,unknown,1.693541032075882,1.693541032075882,unknown
0,positive,2.1655321955680846,2.1655321955680846,positive
1,unknown,1.3047582658710895,1.3047582658710895,unknown
1,unknown,1.5543193580430625,1.5543193580430625,unknown
1,unknown,1.2570682527345298,1.2570682527345298,unknown
1,unknown,0.9654292258205828,0.9654292258205828,unknown
1,unknown,1.477313700403863,1.477313700403863,unknown
0,positive,1.6427135767263052,1.6427135767263052,positive
1,unknown,1.2290796057245075,1.2290796057245075,unknown
1,unknown,1.7642308742663204,1.7642308742663204,unknown
1,unknown,1.3007098587933001,1.3007098587933001,unknown
1,unknown,1.5489544839522182,1.5489544839522182,unknown
0,positive,0.9217313979372079,0.9217313979372079,positive
1,unknown,1.6810202033182917,1.6810202033182917,unknown
1,unknown,0.8166214499318357,0.8166214499318357,unknown
1,unknown,1.1419228347721515,1.1419228347721515,unknown
1,unknown,1.209035909346926,1.209035909346926,unknown
1,unknown,1.1732148485961376,1.1732148485961376,unknown
1,unknown,0.33093267747635763,0.33093267747635763,unknown
1,unknown,1.1510495873871265,1.1510495873871265,unknown
0,positive,1.5264269561430752,1.5264269561430752,positive
1,unknown,1.6590715408325196,1.6590715408325196,unknown
0,positive,1.5562824458739102,1.5562824458739102,positive
1,unknown,0.8442680123889204,0.8442680123889204,unknown
1,unknown,1.0952235938829062,1.0952235938829062,unknown
0,positive,1.549864229645425,1.549864229645425,positive
1,unknown,1.3377484859746573,1.3377484859746573,unknown
1,negative,0.8319632206663187,0.8319632206663187,negative
1,unknown,1.1066994551264997,1.1066994551264997,unknown
1,unknown,1.606480872631073,1.606480872631073,unknown
1,unknown,0.6533616488343114,0.6533616488343114,unknown
1,unknown,0.7828312340819593,0.7828312340819593,unknown
1,unknown,2.4323055505752564,2.4323055505752564,unknown
1,unknown,1.5108280450960934,1.5108280450960934,unknown
0,positive,1.6178117009582933,1.6178117009582933,positive
0,positive,1.2706767920100446,1.2706767920100446,positive
1,unknown,1.6367520393651602,1.6367520393651602,unknown
1,unknown,1.2430268022003588,1.2430268022003588,unknown
1,unknown,1.3693100930970785,1.3693100930970785,unknown
1,unknown,1.4541630209347545,1.4541630209347545,unknown
0,positive,1.2600788685265,1.2600788685265,positive
1,negative,1.5543603927752314,1.5543603927752314,negative
1,unknown,1.2353550942462561,1.2353550942462561,unknown
1,unknown,1.375884235076296,1.375884235076296,unknown
1,unknown,1.0676007660808977,1.0676007660808977,unknown
1,unknown,1.4530243727150378,1.4530243727150378,unknown
0,positive,1.2814813378894088,1.2814813378894088,positive
0,positive,1.479782945088732,1.479782945088732,positive
1,unknown,0.9229325028839526,0.9229325028839526,unknown
1,unknown,1.0826311201712429,1.0826311201712429,unknown
1,unknown,1.0954594017785666,1.0954594017785666,unknown
1,unknown,1.4399056615155814,1.4399056615155814,unknown
1,unknown,1.7973962783813477,1.7973962783813477,unknown
1,unknown,1.5062997729441463,1.5062997729441463,unknown
0,positive,1.3969208541098055,1.3969208541098055,positive
0,positive,1.2543121818148848,1.2543121818148848,positive
1,unknown,1.1969430240574297,1.1969430240574297,unknown
1,unknown,2.2595161318778993,2.2595161318778993,unknown
1,unknown,0.8085421000227029,0.8085421000227029,unknown
1,unknown,1.4052662791532158,1.4052662791532158,unknown
1,unknown,0.865251174996763,0.865251174996763,unknown
0,positive,1.936380103316003,1.936380103316003,positive
1,unknown,1.521018433741915,1.521018433741915,unknown
0,positive,1.4469122740211902,1.4469122740211902,positive
0,positive,1.756975862469369,1.756975862469369,positive
1,unknown,1.5104966313502133,1.5104966313502133,unknown
1,unknown,2.006077233042413,2.006077233042413,unknown
1,unknown,1.1191791864815173,1.1191791864815173,unknown
