toxic,LLM_response,EPR,EPR,LLM_response
1,non-toxic,1.6425493009159937,1.6425493009159937,non-toxic
1,unknown,1.0184623935905563,1.0184623935905563,unknown
1,unknown,1.0971330769131555,1.0971330769131555,unknown
0,toxic,1.7901107465676944,1.7901107465676944,toxic
0,toxic,1.9050212474482748,1.9050212474482748,toxic
0,toxic,1.375037304108588,1.375037304108588,toxic
1,unknown,1.2923647735153623,1.2923647735153623,unknown
0,toxic,1.758306044701237,1.758306044701237,toxic
1,unknown,1.5513486388956494,1.5513486388956494,unknown
1,unknown,1.8640507522856182,1.8640507522856182,unknown
1,unknown,5.680496428794868e-07,5.680496428794868e-07,unknown
1,unknown,1.366325977986304,1.366325977986304,unknown
1,unknown,1.4115356810162438,1.4115356810162438,unknown
0,toxic,1.4698627745561281,1.4698627745561281,toxic
0,toxic,1.6710546437536664,1.6710546437536664,toxic
0,toxic,1.7228315058981365,1.7228315058981365,toxic
1,unknown,1.7839952202456686,1.7839952202456686,unknown
1,unknown,1.2920997237615268,1.2920997237615268,unknown
0,toxic,1.492377093975989,1.492377093975989,toxic
1,unknown,1.482228807156531,1.482228807156531,unknown
1,unknown,1.8371953340190146,1.8371953340190146,unknown
1,non-toxic,1.1946539854459446,1.1946539854459446,non-toxic
1,unknown,1.5200459571498128,1.5200459571498128,unknown
1,unknown,0.04410719139947901,0.04410719139947901,unknown
0,toxic,1.6289605962055418,1.6289605962055418,toxic
0,toxic,1.3384417064259424,1.3384417064259424,toxic
0,toxic,1.6034836236273236,1.6034836236273236,toxic
1,unknown,1.7779797496216987,1.7779797496216987,unknown
0,toxic,1.5316714171205945,1.5316714171205945,toxic
0,toxic,1.167635971668858,1.167635971668858,toxic
1,unknown,0.8585234232018365,0.8585234232018365,unknown
1,unknown,1.7382336141484473,1.7382336141484473,unknown
1,unknown,0.7609424706205686,0.7609424706205686,unknown
1,unknown,1.3675215426718181,1.3675215426718181,unknown
1,unknown,1.573012236302344,1.573012236302344,unknown
1,unknown,1.7778659943376964,1.7778659943376964,unknown
1,unknown,1.4698944991283098,1.4698944991283098,unknown
1,unknown,1.912557190656662,1.912557190656662,unknown
0,toxic,1.4916484955583997,1.4916484955583997,toxic
1,non-toxic,0.7566867481574377,0.7566867481574377,non-toxic
1,unknown,1.2989377712659518,1.2989377712659518,unknown
0,toxic,1.566336733463902,1.566336733463902,toxic
0,toxic,1.4645371142660566,1.4645371142660566,toxic
1,unknown,1.010780940001456,1.010780940001456,unknown
1,unknown,1.2223340308122317,1.2223340308122317,unknown
1,unknown,1.387374333088843,1.387374333088843,unknown
1,unknown,2.039842027425766,2.039842027425766,unknown
0,toxic,1.14455303323964,1.14455303323964,toxic
0,toxic,1.9626915784495567,1.9626915784495567,toxic
1,non-toxic,1.0855089552472008,1.0855089552472008,non-toxic
0,toxic,1.9038221748488637,1.9038221748488637,toxic
0,toxic,1.279218012636153,1.279218012636153,toxic
0,toxic,1.4011818114553876,1.4011818114553876,toxic
1,unknown,1.7358432713781782,1.7358432713781782,unknown
0,toxic,1.8066976074015089,1.8066976074015089,toxic
0,toxic,1.962328168930361,1.962328168930361,toxic
1,non-toxic,1.170943833119668,1.170943833119668,non-toxic
1,unknown,2.0474945545196532,2.0474945545196532,unknown
1,unknown,1.1695535665206591,1.1695535665206591,unknown
1,unknown,2.1614909410476684,2.1614909410476684,unknown
0,toxic,1.3191614748852942,1.3191614748852942,toxic
1,unknown,1.4982525084053464,1.4982525084053464,unknown
0,toxic,1.3252541132042779,1.3252541132042779,toxic
1,non-toxic,1.0431581623623742,1.0431581623623742,non-toxic
1,unknown,1.5994613023417685,1.5994613023417685,unknown
0,toxic,1.2803837751798313,1.2803837751798313,toxic
1,unknown,2.063881710352251,2.063881710352251,unknown
0,toxic,1.7835275236402937,1.7835275236402937,toxic
1,unknown,1.7742322474718093,1.7742322474718093,unknown
0,toxic,1.3559130716954655,1.3559130716954655,toxic
1,unknown,2.123880449117968,2.123880449117968,unknown
1,unknown,1.499358192627875,1.499358192627875,unknown
0,toxic,2.0526822805404663,2.0526822805404663,toxic
1,unknown,1.164241093758244,1.164241093758244,unknown
